AISHE Code,Name,State,District,City,Website,Year ,Location,Type,Management,University,Category,Email,Phone No
,ANDAMAN COLLEGE (ANCOL),Andaman and Nicobar Islands,South Andamans,,www.ancol.andaman.gov.in,,,tech,,,,,
,Tagore Government College of Education,Andaman and Nicobar Islands,South Andamans,,www.tgce.and.nic.in,,,tech,,,,,
,Dr.B.R. Ambedkar Institute of Technology,Andaman and Nicobar Islands,South Andamans,,http://dbragpt.andaman.gov.in,,,tech,,,,,
,Mahatma Gandhi Govt. College,Andaman and Nicobar Islands,North and Middle Andaman,,http://mggcm.and.nic.in,,,tech,,,,,
,Jawaharlal Nehru Rajkeeya  Mahavidyalaya,Andaman and Nicobar Islands,South Andamans,,jnrm.and.nic.in,,,tech,,,,,
,K.G.P.R - A.N.R.COLLEGE OF EDUCATION,Andhra Pradesh,Krishna,,www.kgpr.anrcollege.edu,,,tech,,,,,
,"Chaitanya Bharathi Degree College, Venkatachalam",Andhra Pradesh,Sri Potti Sriramulu Nellore,,www.chaithanyabharathicollege@gmail.com,,,tech,,,,,
,AVANTHI DEGREE COLLEGE,Andhra Pradesh,Visakhapatnam,,https://www.avanthi.edu.in/,,,tech,,,,,
,"SRI MANJUNADHA COLLEGE OF EDUCATION, PODILI, PRAKASAM DISTRICT",Andhra Pradesh,Prakasam,,www.manjunadhacoe.com,,,tech,,,,,
,ADITYA DEGREE COLLEGE,Andhra Pradesh,Chittoor,,www.adityadc.ac.in,,,tech,,,,,
,"CORAMANDAL COLLEGE OF EDUCATION, MEDIKONDURU",Andhra Pradesh,Guntur,,www.svedu.in,,,tech,,,,,
,"Velagapudi Ramakrishna Siddhartha Engineering College, Vasantha Nagar, Kanuru, Vijayawada-520007(CC-8W)",Andhra Pradesh,Krishna,,www.vrsiddhartha.ac.in,,,tech,,,,,
,"Sri Shiridi Sai Degree College, Vizianagaram Dist.",Andhra Pradesh,Vizianagaram,,www.sssdegreecollegebobbili.com,,,tech,,,,,
,Pydah College of Education,Andhra Pradesh,Visakhapatnam,,-,,,tech,,,,,
,St. Thomas College of Education,Andhra Pradesh,Krishna,,stthomascollegetvr.com,,,tech,,,,,
,"SRI VENKATESWARA DEGREE COLLEGE, ETCHERLA",Andhra Pradesh,Srikakulam,,www.svcet.info,,,tech,,,,,
,"Vasavi Mahila Kalasala,",Andhra Pradesh,Kurnool,,vmk.edu.in,,,tech,,,,,
,"SRI SAI DEGREE COLLEGE, KAREMPUDI",Andhra Pradesh,Palnadu,,-,,,tech,,,,,
,"Viveka Arts & Science Degree College, Pamuru",Andhra Pradesh,Prakasam,,WWW.VIVEKADCPAMUR.IN,,,tech,,,,,
,SRI SAI LEELA COLLEGE OF EDUCATION,Andhra Pradesh,Vizianagaram,,WWW.saileela.com,,,tech,,,,,
,Sri Aditya Degree College,Andhra Pradesh,Visakhapatnam,,www.sriaditya.com,,,tech,,,,,
